iter	Passed	Remaining
0	2634	260830
1	6296	308550
2	10671	345047
3	15038	360921
4	19061	362164
5	23498	368149
6	28068	372903
7	32297	371424
8	36526	369321
9	40958	368624
10	45393	367272
11	49602	363755
12	53472	357853
13	57658	354189
14	61672	349475
15	66078	346914
16	70156	342526
17	74067	337419
18	78281	333725
19	81783	327135
20	85835	322904
21	90231	319910
22	94279	315629
23	98532	312018
24	102531	307593
25	106073	301900
26	110439	298596
27	114466	294342
28	118621	290417
29	122988	286974
30	126890	282433
31	131173	278743
32	135663	275438
33	139822	271419
34	144793	268901
35	148704	264362
36	153597	261530
37	159840	260791
38	165540	258922
39	169935	254902
40	174889	251669
41	179028	247230
42	183917	243798
43	189105	240680
44	193328	236289
45	197469	231812
46	202207	228021
47	207635	224938
48	212003	220656
49	215842	215842
50	221154	212482
51	225996	208612
52	230126	204074
53	234570	199819
54	238921	195481
55	243131	191032
56	247478	186694
57	251845	182370
58	256131	177989
59	260769	173846
60	265605	169813
61	269913	165430
62	274705	161334
63	280402	157726
64	285091	153510
65	289201	148982
66	293837	144725
67	298614	140524
68	303393	136307
69	308774	132332
70	312972	127833
71	317572	123500
72	322794	119389
73	327217	114968
74	332712	110904
75	337089	106449
76	341631	102045
77	346321	97680
78	350765	93241
79	355160	88790
80	359534	84335
81	361780	79415
82	364890	74736
83	369190	70321
84	373089	65839
85	376743	61330
86	380980	56928
87	384771	52468
88	389062	48086
89	393095	43677
90	397352	39298
91	401798	34938
92	405941	30554
93	409858	26161
94	414150	21797
95	418015	17417
96	422394	13063
97	425447	8682
98	429721	4340
99	432435	0
