iter	Passed	Remaining
0	0	85
1	1	93
2	3	97
3	4	99
4	5	101
5	6	100
6	7	100
7	8	99
8	9	98
9	10	95
10	11	90
11	12	88
12	12	85
13	13	84
14	14	84
15	15	82
16	16	79
17	16	76
18	17	73
19	17	70
20	18	68
21	18	65
22	18	63
23	19	61
24	19	59
25	20	57
26	20	55
27	21	54
28	21	52
29	21	51
30	22	49
31	23	49
32	23	48
33	24	47
34	24	46
35	25	45
36	26	45
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	30	39
43	30	38
44	31	37
45	31	36
46	31	35
47	32	34
48	32	33
49	32	32
50	33	31
51	33	31
52	33	30
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	26
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	19
70	44	18
71	45	17
72	45	16
73	46	16
74	47	15
75	47	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	8
86	55	8
87	56	7
88	57	7
89	57	6
90	57	5
91	58	5
92	58	4
93	59	3
94	60	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
